municipio;regiao_administrativa;regiao_governo;populacao2017;pib2017;pib_per_capita2017;score;ranking;tarifa_agua;tarifa_esgoto;atendimento;coleta;tratamento;inv_per_capita;perdas_original;desempenho
Vista Alegre do Alto;Barretos;Barretos;    8335;   353695; 42,434913;77,96760;  1;1,36;0,72; 92,24; 99,12; 99,12;2,794438e+01; 16,32;214,34
Urupês;São José do Rio Preto;Catanduva;   13655;   390043; 28,564116;76,68404;  2;0,63;0,53; 88,99;100,00;100,00;0,000000e+00;  7,90;158,68
Taiúva;Barretos;Barretos;    5603;   116073; 20,716223;75,24809;  3;0,35;0,20;100,00; 97,69; 97,69;8,710489e-01;  0,00; 52,62
Taquaral;Ribeirão Preto;Ribeirão Preto;    2823;    38032; 13,472193;74,66013;  4;0,65;0,42;100,00; 99,32; 99,32;0,000000e+00;  0,00; 61,64
Dobrada;Região Administrativa Central;Araraquara;    8744;   117041; 13,385293;74,14633;  5;0,52;0,35; 97,77;100,00;100,00;0,000000e+00; 19,85;110,00
Ibaté;Região Administrativa Central;São Carlos;   34226;   915873; 26,759569;74,13687;  6;1,33;0,76; 96,01; 95,88; 95,88;4,441104e+00;  0,06;110,37
Cerqueira César;Sorocaba;Avaré;   19495;   753006; 38,625596;74,01088;  7;0,72;0,52; 96,09;100,00; 74,06;5,650714e+00; 14,29;160,27
Holambra;Campinas;Campinas;   14012;   908165; 64,813374;73,69998;  8;2,11;1,98; 95,00;100,00;100,00;2,547157e+02; 20,96;140,44
Sabino;Bauru;Lins;    5549;   118111; 21,285096;73,61050;  9;1,00;0,85;100,00; 81,47; 81,47;0,000000e+00;  1,96;173,35
Igaraçu do Tietê;Bauru;Jaú;   24596;   299508; 12,177102;73,30593; 10;0,85;0,64; 98,06; 96,13; 85,74;0,000000e+00;  0,57;102,48
Guaiçara;Bauru;Lins;   11869;   185266; 15,609234;73,21509; 11;0,71;0,44;100,00; 97,39; 97,39;1,660796e+00;  9,29; 66,92
Pradópolis;Ribeirão Preto;Ribeirão Preto;   20516;   840208; 40,953792;73,19025; 12;0,44;0,25; 99,55;100,00;100,00;0,000000e+00; 29,57;109,80
Jaci;São José do Rio Preto;São José do Rio Preto;    6728;   342924; 50,969679;73,06693; 13;0,75;0,40; 86,11; 98,80; 98,80;0,000000e+00;  0,00; 71,24
Bilac;Araçatuba;Araçatuba;    7837;   184903; 23,593594;73,05472; 14;1,31;0,88; 98,59; 88,24; 88,24;0,000000e+00;  0,36;140,75
Conchal;Campinas;Limeira;   27554;   656033; 23,808993;72,97981; 15;0,86;0,55; 99,03; 92,47; 77,96;1,275368e+01;  6,38;113,76
Tabapuã;São José do Rio Preto;Catanduva;   12251;   241952; 19,749571;72,51996; 16;0,86;0,82;100,00; 88,26; 88,26;0,000000e+00;  7,79;126,74
Clementina;Araçatuba;Araçatuba;    8254;   245147; 29,700388;72,48634; 17;1,48;0,96; 95,31; 98,48; 98,48;3,075211e+01; 18,31;115,70
Potirendaba;São José do Rio Preto;São José do Rio Preto;   17002;   531603; 31,267086;72,45736; 18;0,65;0,47; 98,85; 87,79; 87,79;0,000000e+00; -8,26; 80,84
Tupi Paulista;Presidente Prudente;Dracena;   15321;   282161; 18,416618;72,40102; 19;1,53;1,13;100,00; 97,44; 97,44;0,000000e+00;  9,86;127,63
Itirapina;Campinas;Rio Claro;   17589;   386254; 21,959975;72,38971; 20;1,69;2,00; 79,39;100,00;100,00;1,384002e+01;  3,85;164,59
Nuporanga;Franca;São Joaquim da Barra;    7341;   527532; 71,861054;72,30761; 21;1,31;0,63; 98,38; 99,34; 99,34;2,409965e+00; 30,03;145,08
Barbosa;Araçatuba;Araçatuba;    7251;    89433; 12,333885;72,19376; 22;0,64;0,54; 98,91; 97,01; 93,69;5,748466e-01; 11,99; 72,58
Nantes;Presidente Prudente;Presidente Prudente;    3049;   150435; 49,339128;71,98736; 23;0,94;0,61;100,00;100,00;100,00;0,000000e+00; 13,33; 68,06
Santópolis do Aguapeí;Araçatuba;Araçatuba;    4687;    60817; 12,975677;71,89663; 24;2,70;2,43; 89,93;100,00;100,00;3,477357e+02;  0,03; 73,94
Rio Claro;Campinas;Rio Claro;  202952;  9418391; 46,406988;71,65454; 25;2,85;1,72;100,00; 97,79; 89,98;0,000000e+00; 15,20;234,78
Guaimbê;Bauru;Lins;    5737;    72070; 12,562315;71,45470; 26;0,23;0,05; 99,90; 86,06; 86,06;0,000000e+00; 14,27; 76,53
Bariri;Bauru;Jaú;   34602;  1146339; 33,129270;71,37114; 27;1,03;0,76; 99,91; 91,70; 91,70;1,877463e+00; 13,30; 99,28
Bálsamo;São José do Rio Preto;São José do Rio Preto;    8908;   203308; 22,823080;71,35085; 28;0,59;0,47;100,00; 80,77; 80,77;4,764287e-01;  0,00; 83,64
Santa Lúcia;Região Administrativa Central;Araraquara;    8758;   127361; 14,542247;71,32536; 29;0,53;0,25; 93,42; 98,97; 98,97;0,000000e+00; 17,80; 57,51
Novais;São José do Rio Preto;Catanduva;    5527;    60081; 10,870454;71,14053; 30;0,24;0,21; 91,05; 92,31; 61,54;0,000000e+00;  0,00;100,32
Andradina;Araçatuba;Andradina;   57350;  1971995; 34,385266;70,84246; 31;2,53;2,24; 96,89;100,00;100,00;1,785981e+02; 21,47;126,49
Santana da Ponte Pensa;São José do Rio Preto;Jales;    1555;    34554; 22,221222;70,83014; 32;2,69;2,41; 88,85;100,00;100,00;9,046133e+01; -0,77;117,75
São João das Duas Pontes;São José do Rio Preto;Fernandópolis;    2601;    42032; 16,159938;70,77383; 33;2,77;2,47; 99,96;100,00;100,00;6,315965e+01;  2,13;111,99
Adolfo;São José do Rio Preto;São José do Rio Preto;    3609;    99735; 27,635079;70,68924; 34;2,70;2,44; 99,89;100,00;100,00;4,821859e+01; -4,01;105,91
Reginópolis;Bauru;Bauru;    9042;   147144; 16,273391;70,58014; 35;1,02;0,77; 94,10; 94,57; 89,45;0,000000e+00; 18,25;122,35
Rancharia;Presidente Prudente;Presidente Prudente;   29821;  1323712; 44,388585;70,54203; 36;0,85;0,57; 93,47; 99,83; 99,83;1,178928e+01; 30,44; 82,39
Braúna;Araçatuba;Araçatuba;    5557;    94531; 17,011157;70,54065; 37;1,66;1,59; 88,15; 81,66; 81,66;0,000000e+00;  0,00;194,17
Guarani d'Oeste;São José do Rio Preto;Fernandópolis;    2017;    34008; 16,860684;70,53263; 38;2,90;2,58; 99,15;100,00;100,00;8,113913e+01; -1,54;105,15
Américo de Campos;São José do Rio Preto;Votuporanga;    5967;   104697; 17,546003;70,48966; 39;0,65;0,48; 85,63; 83,84; 83,84;1,356616e+01;  4,98; 85,72
Catanduva;São José do Rio Preto;Catanduva;  120691;  3974659; 32,932522;70,38143; 40;1,97;2,45; 98,28;100,00; 86,78;2,480072e+01;  8,60;146,42
Meridiano;São José do Rio Preto;Fernandópolis;    3892;   289767; 74,451953;70,16497; 41;2,77;2,51; 99,17; 99,89; 99,89;5,954125e+01;  3,43;109,51
Ouroeste;São José do Rio Preto;Fernandópolis;    9897;   439499; 44,407295;70,07567; 42;2,83;2,53;100,00;100,00;100,00;2,243360e+01;  0,64;120,39
Queiroz;Marília;Tupã;    3267;   368857;112,903887;69,98198; 43;2,72;2,42;100,00;100,00;100,00;3,562860e+01; -9,66; 97,91
Ituverava;Franca;Franca;   41414;  1619182; 39,097455;69,98071; 44;1,17;0,79;100,00;100,00;100,00;9,018245e+00; 37,67;103,92
Santa Ernestina;Região Administrativa Central;Araraquara;    5662;    92068; 16,260685;69,95741; 45;2,75;2,44;100,00;100,00;100,00;5,083284e+01;  5,16;108,53
Regente Feijó;Presidente Prudente;Presidente Prudente;   19985;   655921; 32,820665;69,94880; 46;2,73;2,45; 99,86;100,00;100,00;5,844443e+01;  3,62; 99,43
Borá;Marília;Tupã;     839;    74165; 88,396901;69,93164; 47;2,69;2,41;100,00;100,00;100,00;1,189977e+01; -2,49;112,85
Pontes Gestal;São José do Rio Preto;Votuporanga;    2594;   152387; 58,745952;69,84640; 48;2,81;2,53;100,00; 95,56; 95,56;3,525599e+01; -3,51;127,18
Populina;São José do Rio Preto;Fernandópolis;    4240;    98374; 23,201415;69,73814; 49;2,68;2,39; 99,52;100,00;100,00;3,614328e+01; -6,97; 90,66
São José do Rio Preto;São José do Rio Preto;São José do Rio Preto;  450657; 16493968; 36,599826;69,72027; 50;2,19;2,19; 95,81; 89,03; 89,03;1,050718e+02; 10,52;130,67
Paranapuã;São José do Rio Preto;Jales;    4051;    98637; 24,348803;69,71460; 51;2,74;2,49;100,00;100,00;100,00;1,629544e+01;  0,46;111,33
João Ramalho;Marília;Tupã;    4468;   179068; 40,077887;69,59040; 52;1,71;0,85; 85,38; 81,23; 81,23;0,000000e+00; 38,45;283,44
Colina;Barretos;Barretos;   18376;   948979; 51,642305;69,53614; 53;1,47;1,31; 88,18;100,00;100,00;1,958615e+01; 25,47;110,35
